ordinal,name,repository,url,commit_sha,scan_status,coverage,verdict,risk_score,file_count,text_files_scanned,text_bytes_scanned,finding_count,critical_count,high_count,medium_count,binary_count,top_rule_ids,error
4153,math-lean,Fisfzy/math-lean,https://github.com/Fisfzy/math-lean,41e1898a7e0af6c658b7c5d6099d198d90012e10,ok,full_text_source,high_risk,129,84,83,296332,27,0,12,15,0,SHELL_TRUE;FILE_DELETE;ARBITRARY_PROCESS,
4154,mattpocock-skills-dsh,gongyijie85/mattpocock-skills-dsh,https://github.com/gongyijie85/mattpocock-skills-dsh,e354feea835d2baa67c05fa64d6b90921e9b6b10,ok,full_text_source,high_risk,16,61,61,243572,4,0,1,3,0,SHELL_TRUE;FILE_DELETE;GIT_CLONE;SENSITIVE_DSH,
4155,mcp-ds-ocr,BaihaWhite/mcp-ds-ocr,https://github.com/BaihaWhite/mcp-ds-ocr,bc9b3fdf53549e8f11e937cd27830c207a482dcd,ok_partial,partial,high_risk,58,10,8,101371,15,1,1,13,1,CHAT_TO_AGENT_WITHOUT_ALLOWLIST;PLUGIN_INSTALL_COMMAND;SENSITIVE_DSH;ARBITRARY_PROCESS,binary_like_files_not_decompiled; symlink_targets_not_followed
4156,mddocx,Trisia/mddocx,https://github.com/Trisia/mddocx,7595b724567591ca596179848eacf1b88e442cf9,ok_partial,partial,high_risk,34,28,25,156455,10,0,1,9,2,PLUGIN_INSTALL_COMMAND;SENSITIVE_DSH;ARBITRARY_PROCESS;FILE_DELETE,binary_like_files_not_decompiled
4157,memoria-framework,fleg45/memoria-framework,https://github.com/fleg45/memoria-framework,284dd5fa6cd32d23e36f1729fac6a2bc1c5d4d73,ok,full_text_source,high_risk,175,133,133,1190536,50,1,4,45,0,CHAT_TO_AGENT_WITHOUT_ALLOWLIST;SECRET_LOG;DYNAMIC_EVAL;SENSITIVE_DSH;ARBITRARY_PROCESS;HARDCODED_PASSWORD,
4158,mimo-vision,wulusai2333/mimo-vision,https://github.com/wulusai2333/mimo-vision,9a6bacab4119158f1dbe4c24e70f14fb8b15fbec,ok,full_text_source,high_risk,102,41,41,132907,27,1,3,23,0,CHAT_TO_AGENT_WITHOUT_ALLOWLIST;PLUGIN_INSTALL_COMMAND;SENSITIVE_DSH;ARBITRARY_PROCESS;HARDCODED_PASSWORD,
4159,mini-dsh,civaapple-alt/mini-dsh,https://github.com/civaapple-alt/mini-dsh,3093d614b83b44176a19d9017a496b79efb0e378,ok_partial,partial,high_risk,50,122,120,220847,10,0,5,5,1,SHELL_TRUE;WILDCARD_CORS;FILE_DELETE;ARBITRARY_PROCESS,binary_like_files_not_decompiled
4160,moon-lovers-skill,phoenixlucky/moon-lovers-skill,https://github.com/phoenixlucky/moon-lovers-skill,7a9b9915bdf6b4c40ea738fdad161511f5c10ad8,ok,full_text_source,no_obvious_malicious_findings,0,24,24,133852,0,0,0,0,0,,
4161,muretai-dsh-skill,muretai/muretai-dsh-skill,https://github.com/muretai/muretai-dsh-skill,5b7613cdc388c26eb68ff2659070047ee4eff379,ok,full_text_source,high_risk,57,14,14,49134,15,0,3,12,0,PLUGIN_INSTALL_COMMAND;SENSITIVE_DSH;FILE_DELETE;REMOTE_DOWNLOAD,
4162,mv-superds,aitingtingya/mv-superds,https://github.com/aitingtingya/mv-superds,31908c9b363fb16960406125898fa21daffb2f5c,ok,full_text_source,medium_risk,33,21,21,182448,11,0,0,11,0,SENSITIVE_DSH;ARBITRARY_PROCESS,
